id,label,hasData,alpha,beta,gamma,sum,contextMessage,displayMessage,messageType
technology,"Technology / Software / IT",true,27,27,8,62,"The Technology & IT sector has strong contributive potential among the 100+ sub-sectors analysed by the CCF, enabling systemic change across all industries through digital solutions.","Take a look at your sector's potential across all contribution dimensions!",complete
marketing,"Marketing / Advertising / Communications",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
media,"Media / Entertainment / Publishing",true,22,12,4,38,"The Media & Entertainment sector has meaningful contributive potential among the 100+ sub-sectors analysed by the CCF, with unique capacity to shape narratives and behaviors.","Take a look at your sector's potential across all contribution dimensions!",complete
consulting,"Professional Services / Consulting",true,8,18,5,31,"The Professional Services sector has notable contributive potential among the 100+ sub-sectors analysed by the CCF, advising and enabling transformation across all industries.","Take a look at your sector's potential across all contribution dimensions!",complete
accounting,"Accounting / Audit / Tax / Legal Services / HR",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
banking,"Financial Services / Banking",false,0,0,0,0,"","Dedicated methodology will be developed shortly for financial institutions - keep in touch!",financial
insurance,Insurance,false,0,0,0,0,"","Dedicated methodology will be developed shortly for financial institutions - keep in touch!",financial
real-estate,"Real Estate",true,61,18,10,89,"The Real Estate sector has one of the highest contributive potentials among the 100+ sub-sectors analysed by the CCF, with significant influence on built environment and urban systems.","Take a look at your sector's potential across all contribution dimensions!",complete
construction,"Construction / Infrastructure",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
manufacturing,"Manufacturing / Industrial / Engineering",true,34,27,4,65,"The Manufacturing & Industrial sector has strong contributive potential among the 100+ sub-sectors analysed by the CCF, with key leverage on production systems and material efficiency.","Take a look at your sector's potential across all contribution dimensions!",complete
automotive,Automotive,true,59,24,5,88,"The Automotive sector has one of the highest contributive potentials among the 100+ sub-sectors analysed by the CCF, driving innovation in clean mobility and manufacturing transformation.","Take a look at your sector's potential across all contribution dimensions!",complete
energy-utilities,"Energy / Utilities / Oil & Gas",true,55,35,6,96,"The Energy & Utilities sector ranks among the top 3 highest contributive potentials among the 100+ sub-sectors analysed by the CCF, given its foundational role in powering the transition.","Take a look at your sector's potential across all contribution dimensions!",complete
oil-gas,"Oil & Gas",true,80,9,10,99,"The Oil & Gas sector has the highest contributive potential among the 100+ sub-sectors analysed by the CCF, reflecting its critical role in the climate transition.","Take a look at your sector's potential across all contribution dimensions!",complete
electricity,Electricity,true,55,35,6,96,"The Electricity sector ranks among the top 3 highest contributive potentials among the 100+ sub-sectors analysed by the CCF, as a cornerstone of energy system transformation.","Take a look at your sector's potential across all contribution dimensions!",complete
waste,Waste,true,50,40,5,95,"The Waste sector has one of the top 5 highest contributive potentials among the 100+ sub-sectors analysed by the CCF, with major leverage across circular economy dimensions.","Take a look at your sector's potential across all contribution dimensions!",complete
transportation,"Transportation / Logistics / Supply Chain",true,62,28,5,95,"The Transportation & Logistics sector has one of the top 5 highest contributive potentials among the 100+ sub-sectors analysed by the CCF, spanning mobility, infrastructure and value chain transformation.","Take a look at your sector's potential across all contribution dimensions!",complete
retail,Retail,false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
hospitality,"Hospitality / Travel / Tourism",true,61,18,10,89,"The Hospitality & Tourism sector has one of the highest contributive potentials among the 100+ sub-sectors analysed by the CCF, bridging infrastructure, mobility and behavioral change.","Take a look at your sector's potential across all contribution dimensions!",complete
food-beverage,"Food & Beverage",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
healthcare,"Healthcare / Medical / Hospitals",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
pharma,"Pharmaceuticals / Biotechnology",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
education,"Education / Training / E‑learning",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
nonprofit,"Non‑profit / NGO / Association",false,0,0,0,0,"","No dedicated methodology for public sector & Non-profit at this stage - check with us how you can leverage the corporate framework!",public-sector
government,"Government / Public Sector",false,0,0,0,0,"","No dedicated methodology for public sector & Non-profit at this stage - check with us how you can leverage the corporate framework!",public-sector
agriculture,"Agriculture / Forestry / Fishing",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
arts,"Arts / Design / Creative Services",true,22,12,4,38,"The Arts & Creative Services sector has meaningful contributive potential among the 100+ sub-sectors analysed by the CCF, influencing culture, design and sustainable innovation.","Take a look at your sector's potential across all contribution dimensions!",complete
consumer-goods,"Consumer Goods",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
telecom,Telecommunications,true,18,18,5,41,"The Telecommunications sector has significant contributive potential among the 100+ sub-sectors analysed by the CCF, supporting infrastructure for sustainable connectivity.","Take a look at your sector's potential across all contribution dimensions!",complete
other,"Other (please specify)",false,0,0,0,0,"","Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!",no-data
